,City,Population,ViolentCrime,Murder,Rape,Robbery,AggAssault,PropertyCrime,Burglary,Theft,VehicleTheft,Arson
303,Paso Robles,32528.0,53.0,0.0,9.0,13.0,31.0,646.0,78.0,523.0,45.0,3.0
304,Patterson,22584.0,46.0,0.0,6.0,14.0,26.0,434.0,81.0,249.0,104.0,3.0
305,Perris,80500.0,262.0,4.0,6.0,97.0,155.0,2071.0,268.0,1248.0,555.0,5.0
306,Petaluma,62425.0,190.0,3.0,22.0,28.0,137.0,789.0,109.0,626.0,54.0,9.0
307,Pico Rivera,62880.0,234.0,3.0,16.0,67.0,148.0,1052.0,198.0,581.0,273.0,11.0
308,Piedmont,11307.0,14.0,0.0,3.0,5.0,6.0,227.0,46.0,162.0,19.0,1.0
309,Pinole,19439.0,59.0,0.0,2.0,17.0,40.0,866.0,77.0,726.0,63.0,0.0
310,Pismo Beach,8285.0,29.0,0.0,0.0,6.0,23.0,341.0,89.0,236.0,16.0,1.0
311,Pittsburg,73637.0,446.0,7.0,41.0,157.0,241.0,1660.0,256.0,983.0,421.0,19.0
312,Placentia,51756.0,192.0,0.0,13.0,28.0,151.0,889.0,275.0,511.0,103.0,0.0
313,Placerville,11123.0,39.0,0.0,2.0,6.0,31.0,281.0,67.0,164.0,50.0,0.0
314,Pleasant Hill,35125.0,88.0,0.0,11.0,41.0,36.0,1484.0,112.0,1276.0,96.0,6.0
315,Pleasanton,84017.0,112.0,0.0,12.0,56.0,44.0,1632.0,149.0,1386.0,97.0,4.0
316,Pomona,152776.0,940.0,12.0,101.0,342.0,485.0,4208.0,816.0,2529.0,863.0,15.0
317,Porterville,60209.0,192.0,2.0,7.0,47.0,136.0,1297.0,213.0,835.0,249.0,3.0
318,Port Hueneme,22232.0,43.0,0.0,5.0,14.0,24.0,415.0,63.0,305.0,47.0,3.0
319,Poway,49928.0,51.0,2.0,2.0,12.0,35.0,490.0,91.0,354.0,45.0,1.0
320,Rancho Cordova,75869.0,225.0,5.0,12.0,56.0,152.0,1422.0,233.0,1004.0,185.0,4.0
321,Rancho Cucamonga,179247.0,500.0,4.0,39.0,108.0,349.0,3456.0,590.0,2560.0,306.0,13.0
322,Rancho Mirage,18481.0,45.0,0.0,1.0,7.0,37.0,628.0,120.0,459.0,49.0,0.0
323,Rancho Palos Verdes,41961.0,29.0,2.0,3.0,2.0,22.0,313.0,102.0,199.0,12.0,1.0
324,Rancho Santa Margarita,48377.0,30.0,0.0,4.0,12.0,14.0,296.0,34.0,250.0,12.0,0.0
325,Red Bluff,14308.0,133.0,1.0,26.0,14.0,92.0,787.0,205.0,467.0,115.0,21.0
326,Redlands,71941.0,257.0,1.0,40.0,70.0,146.0,2108.0,330.0,1534.0,244.0,20.0
327,Redondo Beach,67473.0,160.0,1.0,5.0,53.0,101.0,1370.0,260.0,992.0,118.0,1.0
328,Redwood City,87427.0,189.0,0.0,32.0,70.0,87.0,1343.0,165.0,1014.0,164.0,13.0
329,Reedley,25740.0,117.0,1.0,7.0,12.0,97.0,235.0,69.0,117.0,49.0,5.0
330,Rialto,103965.0,595.0,8.0,65.0,185.0,337.0,3149.0,403.0,2179.0,567.0,16.0
331,Richmond,110988.0,1034.0,16.0,36.0,307.0,675.0,4188.0,469.0,2480.0,1239.0,36.0
332,Ridgecrest,29101.0,142.0,3.0,31.0,7.0,101.0,401.0,119.0,243.0,39.0,4.0
333,Rio Dell,3392.0,11.0,1.0,1.0,1.0,8.0,61.0,21.0,36.0,4.0,1.0
334,Rio Vista,9502.0,11.0,0.0,2.0,3.0,6.0,140.0,31.0,87.0,22.0,0.0
335,Ripon,16103.0,13.0,0.0,6.0,4.0,3.0,248.0,23.0,206.0,19.0,0.0
336,Riverbank,25045.0,24.0,1.0,3.0,7.0,13.0,375.0,49.0,273.0,53.0,3.0
337,Riverside,333260.0,1686.0,17.0,139.0,476.0,1054.0,9790.0,1302.0,6997.0,1491.0,75.0
338,Rocklin,68554.0,67.0,0.0,22.0,13.0,32.0,983.0,168.0,738.0,77.0,6.0
339,Rohnert Park,44131.0,267.0,0.0,28.0,28.0,211.0,786.0,93.0,615.0,78.0,8.0
340,Rolling Hills,1868.0,1.0,0.0,0.0,0.0,1.0,8.0,6.0,2.0,0.0,0.0
341,Rolling Hills Estates,8151.0,10.0,0.0,0.0,3.0,7.0,126.0,35.0,82.0,9.0,1.0
342,Rosemead,54489.0,175.0,1.0,11.0,74.0,89.0,942.0,196.0,552.0,194.0,8.0
343,Roseville,141744.0,259.0,4.0,32.0,96.0,127.0,3154.0,389.0,2518.0,247.0,19.0
344,Ross,2470.0,2.0,0.0,0.0,0.0,2.0,25.0,5.0,19.0,1.0,0.0
345,Sacramento,513934.0,3223.0,34.0,127.0,1039.0,2023.0,16354.0,2993.0,10644.0,2717.0,179.0
346,Salinas,156943.0,782.0,8.0,66.0,241.0,467.0,3532.0,742.0,1709.0,1081.0,26.0
347,San Bernardino,216715.0,2858.0,46.0,140.0,906.0,1766.0,9081.0,2029.0,4974.0,2078.0,75.0
348,San Bruno,43297.0,138.0,0.0,17.0,34.0,87.0,1139.0,116.0,948.0,75.0,5.0
349,San Clemente,65018.0,87.0,1.0,3.0,29.0,54.0,918.0,160.0,700.0,58.0,4.0
350,Sand City,407.0,9.0,0.0,0.0,2.0,7.0,77.0,4.0,70.0,3.0,0.0
351,San Diego,1441737.0,5215.0,50.0,561.0,1346.0,3258.0,27141.0,3543.0,18426.0,5172.0,122.0
352,San Dimas,34059.0,78.0,0.0,15.0,15.0,48.0,833.0,113.0,659.0,61.0,1.0
353,San Fernando,24621.0,80.0,1.0,4.0,25.0,50.0,243.0,52.0,112.0,79.0,2.0
354,San Francisco,886007.0,5933.0,40.0,324.0,3055.0,2514.0,48780.0,4644.0,39887.0,4249.0,275.0
355,San Gabriel,40422.0,98.0,0.0,2.0,58.0,38.0,715.0,202.0,468.0,45.0,3.0
