,ZIPCODE,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
56,93033,CA,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,502494.0,502714.0,502820.0,504734.0,505869.0,505508.0,504348.0,504472.0,506811.0,510130.0,511626.0,514786.0
60,94112,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,1144452.0,1148913.0,1146838.0,1145931.0,1144993.0,1145195.0,1136356.0,1129773.0,1126451.0,1130128.0,1132296.0,1138268.0
62,92376,CA,Rialto,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,342335.0,343599.0,345137.0,345750.0,346827.0,347327.0,346915.0,347255.0,347807.0,349742.0,351388.0,352989.0
66,91744,CA,Valinda,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,473918.0,472103.0,470171.0,470380.0,472003.0,474230.0,473014.0,472075.0,472771.0,476658.0,479628.0,482432.0
70,92345,CA,Hesperia,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,261173.0,262006.0,263189.0,264100.0,265440.0,266110.0,266302.0,266600.0,267156.0,268433.0,269548.0,270634.0
72,95823,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,283637.0,284131.0,284516.0,286303.0,288145.0,289748.0,290163.0,289718.0,290096.0,290963.0,293962.0,296945.0
74,92592,CA,Temecula,"Riverside-San Bernardino-Ontario, CA",Riverside County,481914.0,483378.0,485866.0,486695.0,486414.0,485821.0,485678.0,485676.0,485038.0,487048.0,487936.0,491672.0
77,93722,CA,Fresno,"Fresno, CA",Fresno County,255133.0,255984.0,257322.0,257868.0,257552.0,257684.0,258675.0,259986.0,260449.0,261286.0,261888.0,262566.0
79,95035,CA,Milpitas,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,1083199.0,1067889.0,1056120.0,1051118.0,1044653.0,1035546.0,1028578.0,1023625.0,1029770.0,1028084.0,1030109.0,1030751.0
81,92509,CA,Jurupa Valley,"Riverside-San Bernardino-Ontario, CA",Riverside County,389693.0,391363.0,393744.0,394750.0,394834.0,395150.0,396631.0,398144.0,398706.0,400716.0,401775.0,405267.0
82,91335,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,560356.0,557516.0,554774.0,554598.0,555286.0,557310.0,555692.0,556478.0,557718.0,562368.0,565723.0,569797.0
90,93257,CA,Porterville,"Visalia, CA",Tulare County,202189.0,201823.0,201459.0,202041.0,203384.0,204328.0,203767.0,203904.0,204503.0,206580.0,206495.0,206683.0
91,94544,CA,Hayward,"San Francisco-Oakland-Berkeley, CA",Alameda County,653657.0,651586.0,652141.0,652367.0,651267.0,650962.0,649903.0,648713.0,646982.0,646117.0,645117.0,648194.0
98,95630,CA,Folsom,"Sacramento-Roseville-Folsom, CA",Sacramento County,550812.0,551280.0,551736.0,554411.0,557943.0,560491.0,560091.0,558188.0,558180.0,558981.0,563315.0,566811.0
105,91706,CA,Baldwin Park,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,473144.0,469825.0,466905.0,466314.0,466964.0,467527.0,464833.0,462867.0,462534.0,465216.0,467745.0,470660.0
106,90706,CA,Bellflower,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,521755.0,519833.0,518077.0,517676.0,518270.0,519110.0,516868.0,516523.0,517648.0,521407.0,523898.0,527217.0
112,91709,CA,Chino Hills,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,668385.0,668404.0,669250.0,669530.0,671162.0,670880.0,669458.0,669339.0,670401.0,673664.0,675963.0,678016.0
113,90003,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,403887.0,404666.0,406204.0,409282.0,413189.0,416375.0,417306.0,419748.0,422392.0,426205.0,427830.0,429394.0
123,92882,CA,Corona,"Riverside-San Bernardino-Ontario, CA",Riverside County,495726.0,497258.0,499918.0,500859.0,500929.0,500763.0,500864.0,501148.0,500418.0,502232.0,502964.0,506832.0
131,93550,CA,Palmdale,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,285959.0,285910.0,286142.0,286667.0,287776.0,289347.0,289777.0,290548.0,291640.0,293441.0,294716.0,296125.0
132,93274,CA,Tulare,"Visalia, CA",Tulare County,216675.0,216315.0,215811.0,216440.0,217653.0,218557.0,218147.0,218228.0,218913.0,220586.0,220408.0,220584.0
134,92553,CA,Moreno Valley,"Riverside-San Bernardino-Ontario, CA",Riverside County,311240.0,312240.0,314251.0,315652.0,316574.0,317202.0,317869.0,318640.0,318644.0,320916.0,322336.0,325929.0
139,90255,CA,Huntington Park,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,440716.0,439900.0,438788.0,439524.0,439557.0,441010.0,440364.0,443202.0,446818.0,452187.0,455558.0,458684.0
142,94533,CA,Fairfield,"Vallejo, CA",Solano County,399332.0,398157.0,398748.0,401574.0,403387.0,403928.0,405024.0,406167.0,407472.0,408548.0,407985.0,406372.0
144,94513,CA,Brentwood,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,645933.0,641007.0,635299.0,633561.0,634479.0,634301.0,634157.0,634699.0,636722.0,639549.0,642694.0,646729.0
148,92703,CA,Santa Ana,"Los Angeles-Long Beach-Anaheim, CA",Orange County,527385.0,527799.0,529386.0,529496.0,530841.0,530918.0,532781.0,535772.0,540608.0,543448.0,544510.0,544402.0
151,91910,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,497819.0,496087.0,496923.0,500032.0,502528.0,504823.0,507676.0,509776.0,510959.0,511842.0,514099.0,516209.0
152,94110,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,1522363.0,1521177.0,1517915.0,1512074.0,1510552.0,1509372.0,1503550.0,1498435.0,1500306.0,1513577.0,1521507.0,1532329.0
154,92126,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,584172.0,582207.0,582103.0,585411.0,587838.0,590508.0,593126.0,594397.0,594344.0,595125.0,597445.0,600154.0
155,93535,CA,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,267894.0,267727.0,268008.0,268709.0,269938.0,270998.0,270826.0,271170.0,271981.0,273824.0,274924.0,276477.0
157,94538,CA,Fremont,"San Francisco-Oakland-Berkeley, CA",Alameda County,1021266.0,1013468.0,1010520.0,1005485.0,996036.0,984022.0,972121.0,962828.0,956960.0,953175.0,949191.0,951546.0
161,94587,CA,Union City,"San Francisco-Oakland-Berkeley, CA",Alameda County,937916.0,934435.0,933101.0,931107.0,926603.0,921642.0,913881.0,904609.0,897602.0,894216.0,892163.0,895524.0
163,92563,CA,Murrieta,"Riverside-San Bernardino-Ontario, CA",Riverside County,437938.0,439576.0,442099.0,443192.0,443116.0,442817.0,442583.0,442336.0,441414.0,443146.0,443776.0,447089.0
165,94536,CA,Fremont,"San Francisco-Oakland-Berkeley, CA",Alameda County,1083292.0,1078879.0,1077988.0,1072732.0,1063816.0,1054116.0,1047413.0,1039438.0,1034439.0,1028729.0,1023953.0,1023595.0
166,93727,CA,Fresno,"Fresno, CA",Fresno County,270970.0,271884.0,273419.0,274061.0,273599.0,273356.0,274157.0,275481.0,275737.0,276189.0,276093.0,276461.0
168,92105,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,432630.0,431407.0,430956.0,433765.0,435052.0,436755.0,438287.0,440342.0,441069.0,441503.0,442561.0,445155.0
172,94558,CA,Napa,"Napa, CA",Napa County,719857.0,723871.0,723825.0,721348.0,721049.0,718806.0,714675.0,709056.0,708437.0,710702.0,712443.0,711629.0
177,93065,CA,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,582852.0,582112.0,581219.0,581811.0,582480.0,581233.0,580274.0,579856.0,581859.0,583859.0,585035.0,588501.0
185,92021,CA,El Cajon,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,478673.0,477727.0,478195.0,481139.0,483374.0,485581.0,487526.0,488654.0,488609.0,489153.0,490967.0,493194.0
187,93230,CA,Hanford,"Hanford-Corcoran, CA",Kings County,238749.0,239316.0,239052.0,239030.0,239470.0,239929.0,239097.0,238426.0,238205.0,238953.0,240265.0,242745.0
191,91766,CA,Pomona,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,434121.0,433378.0,433120.0,433779.0,435405.0,437183.0,436125.0,435937.0,436982.0,440364.0,442870.0,445561.0
192,90262,CA,Lynwood,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,436687.0,436029.0,435914.0,437377.0,438720.0,440974.0,441352.0,443877.0,447550.0,452323.0,455428.0,458137.0
194,91730,CA,Rancho Cucamonga,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,442510.0,443264.0,444245.0,444781.0,445770.0,445661.0,444461.0,444577.0,445079.0,447055.0,448570.0,450385.0
199,92801,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,555988.0,554401.0,554811.0,555402.0,556665.0,556122.0,557002.0,557957.0,561962.0,564559.0,566663.0,567108.0
200,91402,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,488099.0,486559.0,486470.0,487908.0,489908.0,492190.0,492555.0,494485.0,496036.0,498576.0,500171.0,503724.0
203,93536,CA,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,362371.0,361921.0,361423.0,361474.0,362102.0,363263.0,363049.0,363331.0,364546.0,366842.0,368564.0,370338.0
207,90631,CA,La Habra,"Los Angeles-Long Beach-Anaheim, CA",Orange County,606219.0,604601.0,604833.0,605146.0,606527.0,606373.0,606524.0,607565.0,611403.0,614587.0,615392.0,614232.0
209,93306,CA,Bakersfield,"Bakersfield, CA",Kern County,211842.0,213074.0,213963.0,214052.0,214788.0,215842.0,216420.0,217100.0,217107.0,217514.0,218078.0,218647.0
215,92805,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,555787.0,554724.0,554690.0,554699.0,555852.0,555898.0,556873.0,558772.0,562828.0,565808.0,566615.0,565838.0
