city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Richgrove,144789.0,146531.0,144417.0,145107.0,147808.0,151017.0,151261.0,149506.0,148545.0,149687.0,149470.0,148487.0
Richmond,591677.0,593940.5,592961.0,591876.0,592845.5,593007.5,590630.5,585908.5,582538.5,582388.0,583082.5,584552.0
Ridgecrest,190906.0,191749.0,192052.0,191761.0,191997.0,192645.0,192361.0,192366.0,192208.0,193063.0,193865.0,194178.0
Rio Linda,302387.0,302190.0,301944.0,304012.0,306238.0,308407.0,309473.0,309971.0,311022.0,312164.0,314592.0,317011.0
Rio Oso,406112.0,410015.0,410439.0,411166.0,409977.0,403469.0,406567.0,403530.0,406983.0,399924.0,399824.0,396743.0
Rio Vista,387850.0,385656.0,385282.0,387453.0,388719.0,389310.0,390542.0,391528.0,392063.0,392187.0,391329.0,389806.0
Ripon,472116.0,470920.0,473743.0,473808.0,475521.0,474938.0,473917.0,472641.0,471291.0,471580.0,472651.0,475507.0
Riverbank,324892.0,325774.0,325626.0,328392.0,329779.0,331255.0,330247.0,330660.0,330650.0,333044.0,334293.0,336539.0
Riverdale,208041.0,210696.0,213115.0,214159.0,213402.0,213934.0,217016.0,219939.0,221522.0,221344.0,221278.0,219343.0
Riverside,400432.0,401994.0,404096.0,404978.0,404675.0,404523.0,404923.0,405807.0,405938.0,407940.0,408807.0,411678.0
Rocklin,490310.0,493128.5,493784.0,494265.0,495698.0,495894.5,494678.0,494164.5,495632.5,497016.5,498826.0,501458.5
Rohnert Park,563622.0,558957.0,555791.0,552951.0,554426.0,557973.0,560189.0,559289.0,557060.0,556765.0,554368.0,553835.0
Rolling Hills,1309670.0,1306668.0,1304803.0,1305818.0,1309888.0,1313070.0,1304324.0,1300036.0,1299576.0,1308463.0,1312152.0,1315333.0
Rolling Hills Estates,1930717.0,1923035.0,1916487.0,1914725.0,1918394.0,1925949.0,1909059.0,1900758.0,1892543.0,1905594.0,1907394.0,1913251.0
Rosamond,254983.0,256530.0,257647.0,257939.0,258642.0,259208.0,259458.0,260029.0,260561.0,261204.0,262087.0,262560.0
Rosemead,607603.0,605365.0,602488.0,601516.0,601378.0,602906.0,598589.0,598025.0,599310.0,605170.0,607984.0,610454.0
Rosemont,336675.0,336515.0,336207.0,337681.0,339497.0,340999.0,340759.0,339963.0,340717.0,342185.0,345556.0,348100.0
Roseville,487887.0,489393.0,489465.0,490591.0,492055.0,492257.0,490965.0,490302.0,491821.0,493016.0,495078.0,498388.0
Ross,3164087.0,3174380.0,3173363.0,3133642.0,3107457.0,3106036.0,3087885.0,3058274.0,3030339.0,3043430.0,3060619.0,3063323.0
Rough and Ready,389560.0,387740.0,386406.0,391312.0,394001.0,394967.0,392837.0,392574.0,392099.0,391251.0,391877.0,393623.0
Round Mountain,219284.0,218838.0,218146.0,217844.0,220667.0,227675.0,232549.0,235531.0,235701.0,236305.0,237803.0,238989.0
Rowland Heights,667245.0,664146.0,661520.0,660621.0,661009.0,662140.0,659982.0,659726.0,660674.0,663479.0,663927.0,665571.0
Running Springs,227245.0,227943.0,228767.0,228961.0,229943.0,231138.0,231700.0,232185.0,232269.0,233295.0,233747.0,234659.0
Sacramento,315201.0,315956.0,316463.0,318634.0,320733.0,322422.0,322326.0,321175.0,320963.0,321269.0,324097.0,326846.0
Saint Helena,1455922.0,1462220.0,1462675.0,1461731.0,1462211.0,1453358.0,1462441.0,1477333.0,1509013.0,1520931.0,1527342.0,1523496.0
Salida,336059.0,337275.0,337187.0,340094.0,341881.0,344260.0,344404.0,346131.0,346993.0,349942.0,351245.0,353634.0
Salinas,564309.0,568495.0,569684.0,572095.0,571284.5,569809.5,567391.0,566372.5,565821.5,567389.5,569191.0,571015.5
San Anselmo,1247245.0,1245161.0,1242073.0,1234602.0,1227158.0,1220551.0,1210035.0,1194098.0,1184266.0,1188013.0,1205889.0,1220649.0
San Bernardino,266930.0,268016.0,269785.0,271124.0,272944.0,273867.0,274452.0,275822.0,277041.0,278795.0,279903.0,281112.0
San Bruno,1140778.0,1136771.0,1132631.0,1136146.0,1139786.0,1143091.0,1142820.0,1137610.0,1136063.0,1129150.0,1131556.0,1135014.0
San Carlos,1969601.0,1955625.0,1949345.0,1944871.0,1943357.0,1934557.0,1934787.0,1924997.0,1929352.0,1921054.0,1920917.0,1916770.0
San Clemente,1025212.5,1023399.0,1024563.5,1026832.0,1030890.0,1031889.0,1035573.5,1038347.5,1044498.0,1046669.5,1043087.5,1039332.0
San Diego,622241.0,619224.0,618753.0,622508.0,624702.0,625677.0,627345.0,629137.0,629239.0,629472.0,630810.0,632643.0
San Dimas,623925.0,621535.0,619809.0,618494.0,618737.0,620413.0,620377.0,621488.0,622590.0,625440.0,626717.0,629042.0
San Fernando,484553.0,482814.0,480577.0,481673.0,483394.0,486900.0,486415.0,486630.0,487115.0,490869.0,493958.0,498306.0
San Francisco,1400463.0,1399829.5,1396623.5,1395336.0,1399828.0,1404239.0,1406152.5,1405606.0,1404622.5,1414350.0,1420323.5,1435009.0
San Gabriel,792556.0,789534.0,785915.0,784431.0,784943.0,786152.0,779308.5,775796.0,774632.0,781361.5,784154.5,788026.5
San Jacinto,292409.5,293577.5,295325.0,296532.5,297210.0,297621.5,298096.5,298719.0,298739.5,300260.5,300970.0,303570.0
San Joaquin,181344.0,181965.0,181836.0,181925.0,180884.0,181202.0,182494.0,182604.0,181895.0,180535.0,180591.0,180730.0
San Jose,1035629.0,1020952.0,1002734.0,989698.0,996572.0,984679.0,976057.0,972386.0,981577.0,983345.0,986209.0,987595.0
San Juan Bautista,646929.0,640672.0,638994.0,640886.0,644524.0,647265.0,648488.0,647526.0,646068.0,641558.0,640080.0,642149.0
San Juan Capistrano,792061.0,789758.0,788877.0,788559.0,789600.0,788698.0,789808.0,791318.0,796587.0,799442.0,798571.0,796705.0
San Leandro,662808.0,658727.0,658284.0,657686.0,657553.0,658246.0,659997.0,660395.0,660695.0,660013.0,658592.0,660015.0
San Lorenzo,655809.0,650579.0,649615.0,649961.0,649626.0,649679.0,648615.0,647258.0,646654.0,648040.0,650036.0,656035.0
San Luis Obispo,731859.0,731766.0,736393.0,739308.0,743372.0,741471.0,734373.0,733805.0,735289.0,740057.0,739555.0,739474.0
San Marcos,592607.0,590189.5,589602.5,592418.0,593857.0,595399.5,596980.0,598324.5,598585.0,599098.0,600960.5,602515.5
San Marino,1998314.0,2008533.0,2015838.0,2040473.0,2062145.0,2095853.0,2113491.0,2142193.0,2171859.0,2200858.0,2225431.0,2248839.0
