lat,lon,acq_date,month,cities
33.0878,-115.4085,1/23/2019,1,Brawley
33.0892,-115.405,1/23/2019,1,Brawley
33.0899,-115.7576,10/23/2019,10,Calipatria
33.0899,-115.7515,7/30/2019,7,Calipatria
33.091114,-115.750969,7/16/2019,7,Calipatria
33.0914,-115.747,10/23/2019,10,Calipatria
33.091778,-115.736954,8/12/2019,8,Calipatria
33.09251,-115.750053,7/31/2019,7,Calipatria
33.093449,-115.751678,7/26/2019,7,Calipatria
33.094154,-115.734238,8/12/2019,8,Calipatria
33.094215,-115.750572,10/25/2019,10,Calipatria
33.094475,-116.125412,1/1/2019,1,Borrego Springs
33.095161,-115.74884,7/29/2019,7,Calipatria
33.095203,-115.75251,10/25/2019,10,Calipatria
33.096027,-115.750397,10/21/2019,10,Calipatria
33.096294,-115.752365,10/21/2019,10,Calipatria
33.096336,-115.752869,7/16/2019,7,Calipatria
33.10598,-115.481194,1/26/2019,1,Calipatria
33.107437,-115.474937,1/26/2019,1,Calipatria
33.109741,-115.492256,1/24/2019,1,Calipatria
33.110729,-115.482765,1/26/2019,1,Calipatria
33.112179,-115.476494,1/26/2019,1,Calipatria
33.112179,-115.444489,1/13/2019,1,Calipatria
33.112774,-115.440193,1/13/2019,1,Calipatria
33.115551,-115.445145,1/13/2019,1,Calipatria
33.118172,-117.164001,10/25/2019,10,San Marcos
33.119324,-115.407288,2/6/2019,2,Calipatria
33.120262,-115.403481,2/6/2019,2,Calipatria
33.12104,-117.161224,10/25/2019,10,San Marcos
33.126968,-117.103973,9/14/2019,9,San Marcos
33.129204,-117.105522,9/14/2019,9,San Marcos
33.133804,-115.566757,8/31/2019,8,Calipatria
33.134041,-115.566551,9/1/2019,9,Calipatria
33.137138,-115.5653,9/1/2019,9,Calipatria
33.137268,-115.566093,8/31/2019,8,Calipatria
33.139,-115.56,8/31/2019,8,Calipatria
33.1437,-115.3344,7/5/2019,7,Calipatria
33.1451,-115.3274,7/5/2019,7,Brawley
33.145412,-115.333084,7/5/2019,7,Calipatria
33.146549,-115.331596,7/5/2019,7,Calipatria
33.155369,-115.609489,3/4/2019,3,Calipatria
