ZIPCODE,City,Metro,CountyName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
93720,Fresno,"Fresno, CA",Fresno County,335122,335745,337426,337906,337297,337073,338094,339795,339992,341132,341902,343254
93638,Madera,"Madera, CA",Madera County,210800,211920,212853,213336,214546,216148,217101,218317,220458,221896,223375,225013
94577,San Leandro,"San Francisco-Oakland-Berkeley, CA",Alameda County,662808,658727,658284,657686,657553,658246,659997,660395,660695,660013,658592,660015
94553,Martinez,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,604227,601005,595946,591299,589198,587011,589049,590572,592510,593938,595866,599750
95757,Elk Grove,"Sacramento-Roseville-Folsom, CA",Sacramento County,480642,481191,481651,483927,486646,488429,488088,486838,487015,487912,491371,495275
92843,Garden Grove,"Los Angeles-Long Beach-Anaheim, CA",Orange County,585691,585408,586527,586789,588502,589344,591053,593612,598340,601561,601512,600303
95136,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,1007884,994809,982608,976315,967904,956834,946239,938573,941891,942056,945479,947396
93455,Santa Maria,"Santa Maria-Santa Barbara, CA",Santa Barbara County,444077,445127,443778,442947,442209,443709,443325,444044,443374,445370,446285,448973
93304,Bakersfield,"Bakersfield, CA",Kern County,169635,170956,172064,172642,173799,175263,176323,177411,177708,177878,178087,178247
95336,Manteca,"Stockton, CA",San Joaquin County,379282,378343,381012,381924,383373,383928,384184,384557,384019,383975,384400,386235
95148,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,1035629,1020952,1010578,1007827,1003660,995253,986469,980199,985382,987439,992310,995543
90620,Buena Park,"Los Angeles-Long Beach-Anaheim, CA",Orange County,595070,593628,594017,593940,595480,595936,597969,600973,606448,609887,610681,609889
94086,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,1556702,1530908,1513894,1503794,1494458,1478485,1459423,1443977,1444405,1445288,1448594,1450066
90023,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,439801,440247,442662,447043,450795,452930,451808,452150,452942,457098,460383,464584
90065,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,860090,856737,854659,852667,854708,855420,847203,840438,838341,846029,853096,859689
90638,La Mirada,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,605004,602379,600089,599273,599041,599666,596336,594863,594917,598606,601264,604185
90057,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,546756,544939,543911,543405,544370,547141,545899,546549,547372,551930,554890,556795
91789,Walnut,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,769528,763936,759099,755920,754919,755090,752376,753068,754506,757651,757151,758319
90032,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,615940,614092,612756,612962,615235,618370,617524,616639,616093,620374,623635,627754
91306,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,584481,580714,576987,575928,576306,578345,576997,577944,580206,585567,590232,595387
90033,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,511696,507377,507882,511733,516793,517352,510040,503923,501839,506592,512020,516896
95240,Lodi,"Stockton, CA",San Joaquin County,321767,321457,323288,324118,325751,326829,328177,329378,329552,328852,328296,329034
95060,Santa Cruz,"Santa Cruz-Watsonville, CA",Santa Cruz County,998948,1002815,999141,1003999,998810,999141,992909,984573,979102,977732,977494,975740
92109,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,936255,932419,931282,934488,937294,940594,947536,955510,960527,960739,960894,964731
92104,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,580027,577160,575527,577501,578948,580954,585500,591195,595515,597181,596946,596911
92374,Redlands,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,371577,371373,372278,373565,375319,376092,375951,377123,378275,380596,382124,383395
92648,Huntington Beach,"Los Angeles-Long Beach-Anaheim, CA",Orange County,993741,993297,994677,995250,997064,997500,1002228,1007754,1015528,1018416,1015276,1010978
92688,Rancho Santa Margarita,"Los Angeles-Long Beach-Anaheim, CA",Orange County,639398,637168,636489,635602,635757,634103,633556,633488,636917,639384,640052,639168
90025,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1017520,1014604,1009786,1008094,1006592,1008947,1002634,1000868,1001471,1010581,1015996,1021819
92410,San Bernardino,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,259957,261406,263416,265034,267231,269025,269625,270648,271694,273446,274561,275186
94303,East Palo Alto,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2008754,1984731,1969437,1961251,1951727,1935719,1919433,1904172,1909392,1910386,1918251,1924125
94560,Newark,"San Francisco-Oakland-Berkeley, CA",Alameda County,974262,968820,963642,956685,948806,941624,931620,921321,913541,910850,908702,911109
92122,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,695880,693014,692749,697223,700163,703729,707314,710202,711302,713127,716161,719470
92620,Irvine,"Los Angeles-Long Beach-Anaheim, CA",Orange County,981654,978099,976483,976053,976715,975432,976534,979572,985227,986935,983483,978610
91352,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,561938,560632,559005,558102,559423,562778,562101,562468,564058,569569,574287,579056
91790,West Covina,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,553055,550679,548832,547955,547731,547792,545208,544185,544333,547789,550543,554015
90027,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1466396,1468204,1466289,1465902,1464376,1470823,1442024,1428443,1416148,1442157,1453441,1461927
95008,Campbell,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,1369859,1345623,1327783,1321520,1313763,1300991,1285498,1274478,1278075,1277599,1282313,1285906
92040,Lakeside,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,492764,491020,491903,495110,497321,499134,501431,503345,503785,503510,504681,506388
95610,Citrus Heights,"Sacramento-Roseville-Folsom, CA",Sacramento County,355239,355065,354685,356290,358357,360192,360916,361076,362208,363962,367284,370456
95404,Santa Rosa,"Santa Rosa-Petaluma, CA",Sonoma County,663401,656553,651284,647921,649526,653538,655047,654875,654300,656398,654903,653073
93292,Visalia,"Visalia, CA",Tulare County,247289,246856,246344,246786,247986,248530,247426,246830,247334,249444,249477,249573
92102,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,459199,457271,455656,456807,457855,461025,465764,469139,470642,470708,472390,474087
92506,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,451893,453134,455038,455683,455123,454602,456057,457990,458982,460257,460248,463347
91733,South El Monte,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,506726,503437,501137,500719,501550,502825,499210,497413,496935,500521,502900,505446
92236,Coachella,"Riverside-San Bernardino-Ontario, CA",Riverside County,255701,257392,259386,260436,261330,262460,263697,264185,263538,263320,262937,264703
94116,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,1432292,1424993,1418620,1418035,1424952,1432852,1440947,1445843,1445198,1449939,1449579,1458603
90247,Gardena,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,535283,534361,533926,534167,534387,535910,532300,531461,530538,534969,537672,541556
90016,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,767440,766155,768774,774194,781691,789840,793058,797068,799176,806821,812746,819514
93311,Bakersfield,"Bakersfield, CA",Kern County,300712,302810,304331,304405,304936,306088,306821,307712,308256,308869,309857,310134
91320,Thousand Oaks,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,700405,699253,698653,699267,699589,697598,695624,695398,697392,699705,700035,703001
92078,San Marcos,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,632889,630359,629598,632444,633507,635115,637092,638944,639150,639408,640975,642528
95822,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,300251,300585,300585,301907,303874,305820,307305,307884,309006,310138,313046,316216
90007,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,707244,706587,704732,705198,705277,709004,707174,710547,715293,723722,728733,731184
90059,Willowbrook,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,395016,395100,395851,397343,399924,402055,402335,403467,406418,410685,414549,417235
90043,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,669451,667886,667928,668741,671740,676801,676496,678942,681924,689174,694974,701603
90024,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1280029,1275379,1268045,1263588,1261722,1264309,1254951,1250206,1249983,1262063,1268091,1272574
94546,Castro Valley,"San Francisco-Oakland-Berkeley, CA",Alameda County,791849,787485,787573,787820,787128,787051,788704,789942,790496,789154,787394,789921
94605,Oakland,"San Francisco-Oakland-Berkeley, CA",Alameda County,646077,644370,645884,646620,645815,646531,650900,653705,655752,654981,655213,658490
