,city,population,violentcrime,murder,rape,robbery,aggassault,propertycrime,burglary,theft,vehicletheft,arson,firecount,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,yearly median
170,Ridgecrest,29101,142,3,31,7,101,401,119,243,39,4,1,190906.0,191749.0,192052.0,191761.0,191997.0,192645.0,192361.0,192366.0,192208.0,193063.0,193865.0,194178.0,192284.5
171,Mendota,11433,83,1,4,4,74,155,45,50,60,1,65,199911.0,200388.0,198970.0,197242.0,197318.0,199818.0,203483.0,205954.0,206743.0,208023.0,209804.0,212127.0,201935.5
172,Patterson,22584,46,0,6,14,26,434,81,249,104,3,49,370185.0,371095.0,370667.0,373646.0,374870.0,376574.0,374785.0,374308.0,373196.0,375395.0,376615.0,378681.0,374546.5
173,Tehachapi,12211,60,2,8,7,43,327,70,231,26,0,29,273527.0,275865.0,277296.0,277379.0,277671.0,278318.0,277738.0,277924.0,277753.0,278615.0,279493.0,280212.0,277745.5
174,Dinuba,24685,161,1,5,25,130,530,58,405,67,20,79,223744.0,223636.0,223446.0,223899.0,224900.0,225197.0,223514.0,223074.0,223951.0,226722.0,226788.0,226703.0,223925.0
175,Temecula,116630,166,1,8,72,85,2626,318,2018,290,5,3,481914.0,483378.0,485866.0,486695.0,486414.0,485821.0,485678.0,485676.0,485038.0,487048.0,487936.0,491672.0,485843.5
176,Corcoran,21353,118,1,8,12,97,272,65,157,50,5,13,155746.0,157169.0,157446.0,157747.0,159287.0,160300.0,159818.0,158721.0,158676.0,160749.0,161748.0,163900.0,159004.0
177,Yucca Valley,21858,160,0,9,25,126,292,84,157,51,3,2,216029.0,217773.0,219045.0,220398.0,222348.0,223739.0,224114.0,224446.0,225554.0,227254.0,228602.0,229301.0,223926.5
178,Nevada City,3150,15,0,4,1,10,89,26,49,14,1,8,391989.5,393388.5,394664.0,399908.5,404078.5,405275.5,404114.0,402191.0,400844.5,398373.5,397176.5,398456.5,399182.5
179,Hughson,7671,5,0,0,0,5,46,8,29,9,0,40,374892.0,374862.0,373755.0,376788.0,378172.0,379570.0,377743.0,378314.0,378502.0,381902.0,383205.0,385511.0,378243.0
180,Gridley,6618,29,0,15,3,11,205,47,136,22,3,118,233511.0,241051.0,247051.0,250855.0,253701.0,256008.0,259020.0,261009.0,263369.0,264579.0,266924.0,267213.0,257514.0
181,Elk Grove,175492,372,0,35,114,223,2599,292,2107,200,10,33,433670.0,434033.0,434004.0,435874.0,438087.0,440219.0,440086.0,439209.0,439661.0,440931.0,444453.0,447776.0,439435.0
182,Newman,11844,16,0,2,3,11,113,25,68,20,1,7,302487.0,303574.0,303507.0,306237.0,307067.0,307992.0,306028.0,306002.0,306000.0,309072.0,311651.0,314676.0,306132.5
183,Clearlake,15400,119,1,19,36,63,460,146,210,104,11,5,173276.5,173970.0,174440.5,175419.0,176514.5,177941.5,180702.5,183756.0,185883.5,186347.0,187481.5,189690.0,179322.0
184,Selma,24983,85,3,6,25,51,605,204,280,121,0,60,227517.0,228800.0,230841.0,232100.0,232474.0,232984.0,234462.0,236579.0,237298.0,237959.0,237671.0,237635.0,233723.0
185,Santa Clarita,218103,277,2,49,89,137,2059,392,1448,219,17,10,563067.0,561391.5,560157.0,559674.5,560170.5,561467.5,560479.0,560556.5,561806.0,565287.5,567348.0,569899.0,561429.5
186,La Verne,32344,51,1,6,13,31,627,133,447,47,2,2,654285.0,652197.0,650991.0,649840.0,650330.0,652058.0,651311.0,651244.0,650922.0,653024.0,654602.0,657690.0,651684.5
187,Chico,95826,557,0,100,104,353,2406,272,1753,381,48,229,351610.0,361768.0,368361.0,372836.0,376938.0,381714.0,386264.0,388954.0,390736.0,392541.0,394695.0,394332.0,383989.0
188,Oakdale,23808,40,1,5,9,25,531,99,342,90,0,18,447791.0,447531.5,446719.0,448170.5,449624.5,452199.0,452614.5,454198.0,454609.0,455355.0,455200.0,455942.5,452406.75
189,Vallejo,122657,1037,12,138,336,551,4941,2888,1148,905,52,6,432189.5,430878.0,431414.5,433825.0,435689.5,436056.0,437167.5,438046.0,439365.0,440298.5,439309.5,436941.5,436498.75
190,Taft,9413,67,0,6,4,57,244,70,149,25,0,1,129248.0,129562.0,129389.0,128026.0,127728.0,127854.0,128761.0,129292.0,129837.0,130172.0,131231.0,131912.0,129340.5
191,Beaumont,50990,92,2,14,38,38,922,178,548,196,11,2,341393.0,342923.0,344881.0,345836.0,345755.0,345894.0,346197.0,346675.0,346328.0,347621.0,348085.0,350785.0,346045.5
192,Porterville,60209,192,2,7,47,136,1297,213,835,249,3,25,202189.0,201823.0,201459.0,202041.0,203384.0,204328.0,203767.0,203904.0,204503.0,206580.0,206495.0,206683.0,203835.5
